gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,Churn,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,AvgMonthlySpend,ServiceCount,ContractValue
0,0,1,0,1,0,1,29.85,29.85,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,29.85,1,29.85
1,0,0,0,34,1,0,56.95,1889.5,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,55.5735294117647,3,1936.3000000000002
1,0,0,0,2,1,1,53.85,108.15,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,54.075,3,107.7
1,0,0,0,45,0,0,42.3,1840.75,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,40.90555555555556,3,1903.4999999999998
0,0,0,0,2,1,1,70.7,151.65,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,75.825,1,141.4
0,0,0,0,8,1,1,99.65,820.5,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,102.5625,4,797.2
1,0,0,1,22,1,1,89.1,1949.4,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,88.60909090909091,3,1960.1999999999998
0,0,0,0,10,0,0,29.75,301.9,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,30.189999999999998,1,297.5
0,0,1,0,28,1,1,104.8,3046.05,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,108.78750000000001,5,2934.4
1,0,0,1,62,1,0,56.15,3487.95,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,56.25725806451613,3,3481.2999999999997
1,0,1,1,13,1,1,49.95,587.45,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,45.18846153846154,2,649.35
1,0,0,0,16,1,0,18.95,326.8,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,20.425,1,303.2
1,0,1,0,58,1,0,100.35,5681.1,0,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,True,False,True,False,False,97.95,4,5820.299999999999
1,0,0,0,49,1,1,103.7,5036.3,1,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,False,102.78163265306122,5,5081.3
1,0,0,0,25,1,1,105.5,2686.05,0,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,107.44200000000001,6,2637.5
0,0,1,1,69,1,0,113.25,7895.15,0,False,True,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,114.42246376811593,7,7814.25
0,0,0,0,52,1,0,20.65,1022.95,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,19.672115384615385,1,1073.8
1,0,0,1,71,1,0,106.7,7382.25,0,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,103.97535211267606,5,7575.7
0,0,1,1,10,1,0,55.2,528.35,1,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,52.835,3,552.0
0,0,0,0,21,1,1,90.05,1862.9,0,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,True,False,88.70952380952382,4,1891.05
1,1,0,0,1,0,1,39.65,39.65,1,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,39.65,2,39.65
1,0,1,0,12,1,0,19.8,202.25,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,16.854166666666668,1,237.60000000000002
1,0,0,0,1,1,0,20.15,20.15,1,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,20.15,1,20.15
0,0,1,0,58,1,1,59.9,3505.1,0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,60.432758620689654,3,3474.2
1,0,1,1,49,1,0,59.6,2970.3,0,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,60.61836734693878,4,2920.4
0,0,0,0,30,1,1,55.3,1530.6,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,51.019999999999996,3,1659.0
1,0,1,1,47,1,1,99.35,4749.15,1,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,101.04574468085106,4,4669.45
